pop	pop_type	num_TP	out	coexist_length	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
319	del_mutL_srlD	8	1	13860	444	73	717	764	142	1159	284	24	278	444	71	284	40	0	395	0	0	764	141	505	52	0	603	0	0	284	21	92	21	2	166	0	0
320	del_araBAD	9	0	0	125	2	38	229	8	54	187	2	72	125	0	2	0	0	38	0	0	230	2	6	0	0	53	0	0	186	1	1	0	0	73	0	0
321	del_mutL	9	1	13860	1128	36	2001	1105	56	1977	317	13	388	1078	5	94	1059	7	922	0	0	1075	10	130	1122	0	801	0	0	313	6	23	203	0	173	0	0
322	del_srlD	8	1	16169	72	0	380	139	0	573	152	0	177	71	0	1	0	0	380	0	0	139	0	13	0	3	557	0	0	145	1	5	0	0	178	0	0
323	del_mutL_araBAD	8	1	13860	802	175	319	1423	363	549	368	73	213	573	11	156	228	3	325	0	0	994	15	325	432	9	560	0	0	298	5	66	73	0	212	0	0
324	wt	9	1	4621	116	2	32	186	12	49	156	1	52	113	2	0	2	0	33	0	0	182	8	4	3	0	50	0	0	151	1	0	5	0	52	0	0
401	wt	9	1	165	60	1	29	146	13	60	82	2	23	58	1	1	10	0	20	0	0	140	13	13	14	0	39	0	0	80	2	4	4	0	17	0	0
402	del_mutL_srlD	9	1	66	214	28	256	575	96	438	206	16	169	214	28	10	47	0	199	0	0	575	97	24	59	0	354	0	0	204	16	0	44	0	127	0	0
403	del_araBAD	7	1	198	63	0	57	156	10	170	60	2	66	63	0	17	10	0	30	0	0	157	10	59	21	1	88	0	0	60	2	9	3	0	54	0	0
404	del_mutL	9	1	99	787	8	405	1779	26	836	313	5	219	779	7	4	248	1	161	0	0	1763	16	26	519	0	317	0	0	312	4	5	103	0	113	0	0
