pop	pop_type	num_TP	out	coexist_length	mutate_TP	all	fixed_basal
207	del_mutL_srlD	9	1	7920	2640	660	0
207	del_mutL_srlD	9	1	7920	3960	144	0
207	del_mutL_srlD	9	1	7920	5280	667	0
207	del_mutL_srlD	9	1	7920	6600	439	0
207	del_mutL_srlD	9	1	7920	7920	266	0
207	del_mutL_srlD	9	1	7920	9240	120	2
207	del_mutL_srlD	9	1	7920	10560	402	48
207	del_mutL_srlD	9	1	7920	11880	0	0
209	del_mutL	9	0	0	1188	1	1
209	del_mutL	9	0	0	2640	351	9
209	del_mutL	9	0	0	3960	82	1
209	del_mutL	9	0	0	5280	239	1
209	del_mutL	9	0	0	6600	370	2
209	del_mutL	9	0	0	7920	362	1
209	del_mutL	9	0	0	9240	343	9
209	del_mutL	9	0	0	10560	479	1
209	del_mutL	9	0	0	11880	0	0
210	del_srlD	9	1	1320	1188	3	1
210	del_srlD	9	1	1320	2640	95	13
210	del_srlD	9	1	1320	3960	4	1
210	del_srlD	9	1	1320	5280	12	5
210	del_srlD	9	1	1320	6600	42	0
210	del_srlD	9	1	1320	7920	145	1
210	del_srlD	9	1	1320	9240	6	0
210	del_srlD	9	1	1320	10560	110	1
210	del_srlD	9	1	1320	11880	0	0
211	del_mutL_araBAD	7	1	6600	1188	0	0
211	del_mutL_araBAD	7	1	6600	5280	689	5
211	del_mutL_araBAD	7	1	6600	6600	992	1
211	del_mutL_araBAD	7	1	6600	7920	436	1
211	del_mutL_araBAD	7	1	6600	9240	385	2
211	del_mutL_araBAD	7	1	6600	10560	998	13
211	del_mutL_araBAD	7	1	6600	11880	0	0
212	wt	9	1	7920	1188	8	8
212	wt	9	1	7920	2640	13	0
212	wt	9	1	7920	3960	2	0
212	wt	9	1	7920	5280	7	0
212	wt	9	1	7920	6600	14	0
212	wt	9	1	7920	7920	7	0
212	wt	9	1	7920	9240	12	0
212	wt	9	1	7920	10560	87	0
212	wt	9	1	7920	11880	0	0
213	wt	8	0	0	1188	9	6
213	wt	8	0	0	2640	17	0
213	wt	8	0	0	3960	11	0
213	wt	8	0	0	5280	2	0
213	wt	8	0	0	6600	12	0
213	wt	8	0	0	9240	26	0
213	wt	8	0	0	10560	83	0
213	wt	8	0	0	11880	0	0
214	del_mutL_srlD	9	1	9240	1188	75	27
214	del_mutL_srlD	9	1	9240	2640	658	1
214	del_mutL_srlD	9	1	9240	3960	98	0
214	del_mutL_srlD	9	1	9240	5280	195	0
214	del_mutL_srlD	9	1	9240	6600	539	1
214	del_mutL_srlD	9	1	9240	7920	161	1
214	del_mutL_srlD	9	1	9240	9240	30	0
214	del_mutL_srlD	9	1	9240	10560	497	32
214	del_mutL_srlD	9	1	9240	11880	0	0
215	del_araBAD	9	-1	0	1188	20	1
215	del_araBAD	9	-1	0	2640	15	0
215	del_araBAD	9	-1	0	3960	1	0
215	del_araBAD	9	-1	0	5280	14	0
215	del_araBAD	9	-1	0	6600	11	0
215	del_araBAD	9	-1	0	7920	60	0
215	del_araBAD	9	-1	0	9240	12	0
215	del_araBAD	9	-1	0	10560	57	0
215	del_araBAD	9	-1	0	11880	0	0
216	del_mutL	9	1	9240	1188	2	1
216	del_mutL	9	1	9240	2640	979	0
216	del_mutL	9	1	9240	3960	295	0
216	del_mutL	9	1	9240	5280	263	0
216	del_mutL	9	1	9240	6600	740	0
216	del_mutL	9	1	9240	7920	747	1
216	del_mutL	9	1	9240	9240	306	2
216	del_mutL	9	1	9240	10560	842	4
216	del_mutL	9	1	9240	11880	0	0
217	del_srlD	8	1	9240	1188	15	3
217	del_srlD	8	1	9240	2640	349	0
217	del_srlD	8	1	9240	3960	1	0
217	del_srlD	8	1	9240	5280	153	0
217	del_srlD	8	1	9240	6600	192	0
217	del_srlD	8	1	9240	7920	297	0
217	del_srlD	8	1	9240	10560	279	13
217	del_srlD	8	1	9240	11880	0	0
218	del_mutL_araBAD	8	1	9240	1188	29	6
218	del_mutL_araBAD	8	1	9240	2640	575	0
218	del_mutL_araBAD	8	1	9240	3960	79	0
218	del_mutL_araBAD	8	1	9240	5280	726	0
218	del_mutL_araBAD	8	1	9240	6600	231	0
218	del_mutL_araBAD	8	1	9240	7920	514	0
218	del_mutL_araBAD	8	1	9240	10560	1049	13
218	del_mutL_araBAD	8	1	9240	11880	0	0
219	del_mutL_srlD	8	1	9240	1188	4	2
219	del_mutL_srlD	8	1	9240	2640	622	0
219	del_mutL_srlD	8	1	9240	3960	87	0
219	del_mutL_srlD	8	1	9240	5280	369	0
219	del_mutL_srlD	8	1	9240	6600	424	0
219	del_mutL_srlD	8	1	9240	7920	366	4
219	del_mutL_srlD	8	1	9240	10560	591	69
219	del_mutL_srlD	8	1	9240	11880	0	0
220	del_araBAD	8	1	6600	1188	8	6
220	del_araBAD	8	1	6600	2640	21	0
220	del_araBAD	8	1	6600	3960	5	0
220	del_araBAD	8	1	6600	5280	5	0
220	del_araBAD	8	1	6600	6600	10	0
220	del_araBAD	8	1	6600	7920	46	0
220	del_araBAD	8	1	6600	10560	57	0
220	del_araBAD	8	1	6600	11880	0	0
221	del_mutL	9	1	9240	1188	36	20
221	del_mutL	9	1	9240	2640	338	0
221	del_mutL	9	1	9240	3960	102	0
221	del_mutL	9	1	9240	5280	440	0
221	del_mutL	9	1	9240	6600	339	1
221	del_mutL	9	1	9240	7920	354	0
221	del_mutL	9	1	9240	9240	232	3
221	del_mutL	9	1	9240	10560	577	55
221	del_mutL	9	1	9240	11880	0	0
222	del_srlD	8	1	6600	1188	4	4
222	del_srlD	8	1	6600	2640	135	0
222	del_srlD	8	1	6600	3960	21	0
222	del_srlD	8	1	6600	5280	16	0
222	del_srlD	8	1	6600	6600	24	0
222	del_srlD	8	1	6600	7920	79	0
222	del_srlD	8	1	6600	9240	5	0
222	del_srlD	8	1	6600	10560	0	0
223	del_mutL_araBAD	8	1	7920	1188	7	5
223	del_mutL_araBAD	8	1	7920	2640	553	0
223	del_mutL_araBAD	8	1	7920	3960	74	0
223	del_mutL_araBAD	8	1	7920	6600	432	1
223	del_mutL_araBAD	8	1	7920	7920	147	1
223	del_mutL_araBAD	8	1	7920	9240	230	0
223	del_mutL_araBAD	8	1	7920	10560	872	72
223	del_mutL_araBAD	8	1	7920	11880	0	0
301	wt	9	0	0	2079	7	7
301	wt	9	0	0	4620	22	1
301	wt	9	0	0	6929	57	0
301	wt	9	0	0	9240	10	1
301	wt	9	0	0	11549	2	0
301	wt	9	0	0	13859	19	0
301	wt	9	0	0	16169	12	0
301	wt	9	0	0	18480	78	0
301	wt	9	0	0	20789	0	0
302	del_mutL_srlD	9	1	9239	2079	4	3
302	del_mutL_srlD	9	1	9239	4620	899	4
302	del_mutL_srlD	9	1	9239	6929	74	0
302	del_mutL_srlD	9	1	9239	9240	274	0
302	del_mutL_srlD	9	1	9239	11549	246	3
302	del_mutL_srlD	9	1	9239	13859	150	24
302	del_mutL_srlD	9	1	9239	16169	224	108
302	del_mutL_srlD	9	1	9239	18480	220	0
302	del_mutL_srlD	9	1	9239	20789	0	0
303	del_araBAD	9	1	16169	2079	1	1
303	del_araBAD	9	1	16169	4620	119	1
303	del_araBAD	9	1	16169	6929	8	0
303	del_araBAD	9	1	16169	9240	2	0
303	del_araBAD	9	1	16169	11549	35	0
303	del_araBAD	9	1	16169	13859	62	0
303	del_araBAD	9	1	16169	16169	14	1
303	del_araBAD	9	1	16169	18480	231	0
303	del_araBAD	9	1	16169	20789	0	0
304	del_mutL	8	0	0	4620	228	194
304	del_mutL	8	0	0	6929	494	2
304	del_mutL	8	0	0	9240	147	1
304	del_mutL	8	0	0	11549	385	1
304	del_mutL	8	0	0	13859	389	7
304	del_mutL	8	0	0	16169	380	66
304	del_mutL	8	0	0	18480	272	0
304	del_mutL	8	0	0	20789	0	0
305	del_srlD	6	0	0	9240	15	15
305	del_srlD	6	0	0	11549	129	4
305	del_srlD	6	0	0	13859	169	0
305	del_srlD	6	0	0	16169	24	0
305	del_srlD	6	0	0	18480	26	0
305	del_srlD	6	0	0	20789	0	0
306	del_mutL_araBAD	9	0	0	2079	2	2
306	del_mutL_araBAD	9	0	0	4620	442	3
306	del_mutL_araBAD	9	0	0	6929	116	0
306	del_mutL_araBAD	9	0	0	9240	747	3
306	del_mutL_araBAD	9	0	0	11549	520	0
306	del_mutL_araBAD	9	0	0	13859	432	1
306	del_mutL_araBAD	9	0	0	16169	400	8
306	del_mutL_araBAD	9	0	0	18480	714	0
306	del_mutL_araBAD	9	0	0	20789	0	0
307	del_mutL_srlD	2	-1	0	2079	0	0
307	del_mutL_srlD	2	-1	0	4620	0	0
308	del_araBAD	9	1	9240	2079	10	8
308	del_araBAD	9	1	9240	4620	14	4
308	del_araBAD	9	1	9240	6929	1	1
308	del_araBAD	9	1	9240	9240	0	0
308	del_araBAD	9	1	9240	11549	21	0
308	del_araBAD	9	1	9240	13859	53	0
308	del_araBAD	9	1	9240	16169	7	0
308	del_araBAD	9	1	9240	18480	49	0
308	del_araBAD	9	1	9240	20789	0	0
309	del_mutL	9	1	2311	2079	28	7
309	del_mutL	9	1	2311	4620	149	107
309	del_mutL	9	1	2311	6929	148	128
309	del_mutL	9	1	2311	9240	97	44
309	del_mutL	9	1	2311	11549	30	27
309	del_mutL	9	1	2311	13859	63	63
309	del_mutL	9	1	2311	16169	79	77
309	del_mutL	9	1	2311	18480	674	0
309	del_mutL	9	1	2311	20789	0	0
310	del_srlD	7	0	0	2079	13	5
310	del_srlD	7	0	0	9240	13	13
310	del_srlD	7	0	0	11549	0	0
310	del_srlD	7	0	0	13859	175	0
310	del_srlD	7	0	0	16169	103	2
310	del_srlD	7	0	0	18480	43	0
310	del_srlD	7	0	0	20789	0	0
311	del_mutL_araBAD	8	1	13860	2079	138	10
311	del_mutL_araBAD	8	1	13860	4620	453	6
311	del_mutL_araBAD	8	1	13860	9240	735	0
311	del_mutL_araBAD	8	1	13860	11549	328	0
311	del_mutL_araBAD	8	1	13860	13859	465	3
311	del_mutL_araBAD	8	1	13860	16169	635	19
311	del_mutL_araBAD	8	1	13860	18480	564	3
311	del_mutL_araBAD	8	1	13860	20789	0	0
312	wt	8	1	6931	2079	10	3
312	wt	8	1	6931	4620	10	5
312	wt	8	1	6931	6929	2	2
312	wt	8	1	6931	9240	1	1
312	wt	8	1	6931	11549	1	1
312	wt	8	1	6931	16169	26	1
312	wt	8	1	6931	18480	51	0
312	wt	8	1	6931	20789	0	0
313	wt	9	1	16169	2079	10	10
313	wt	9	1	16169	4620	23	1
313	wt	9	1	16169	6929	6	0
313	wt	9	1	16169	9240	15	1
313	wt	9	1	16169	11549	9	1
313	wt	9	1	16169	13859	24	0
313	wt	9	1	16169	16169	12	0
313	wt	9	1	16169	18480	40	0
313	wt	9	1	16169	20789	0	0
314	del_mutL_srlD	8	1	9240	2079	350	299
314	del_mutL_srlD	8	1	9240	4620	166	72
314	del_mutL_srlD	8	1	9240	6929	17	1
314	del_mutL_srlD	8	1	9240	9240	18	18
314	del_mutL_srlD	8	1	9240	11549	207	19
314	del_mutL_srlD	8	1	9240	13859	219	5
314	del_mutL_srlD	8	1	9240	18480	838	12
