pop	pop_type	num_TP	out	coexist_length	mutate_TP	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
108	del_araBAD	8	1	1980	990	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	del_araBAD	8	1	1980	1320	17	0	4	41	0	12	7	0	4	17	0	1	0	0	5	0	0	42	0	1	0	0	15	0	0	7	0	0	0	0	6	0	0
108	del_araBAD	8	1	1980	1980	5	0	3	17	0	4	13	0	6	5	0	0	0	0	5	0	0	17	0	1	0	0	3	0	0	13	0	1	0	0	5	0	0
108	del_araBAD	8	1	1980	2310	2	0	4	12	0	1	2	0	3	2	0	0	0	0	4	0	0	12	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0
108	del_araBAD	8	1	1980	2640	0	0	23	0	0	32	0	0	60	0	0	0	0	0	20	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	60	0	0
108	del_araBAD	8	1	1980	2970	0	0	51	0	0	226	0	0	145	0	0	0	0	0	51	0	0	0	0	0	0	0	229	0	0	0	0	0	0	1	147	0	0
109	del_mutL	9	1	1980	297	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
109	del_mutL	9	1	1980	660	17	0	8	37	1	20	13	0	3	17	0	8	0	0	0	0	0	37	0	16	7	0	0	0	0	11	0	1	3	0	0	0	0
109	del_mutL	9	1	1980	990	28	0	18	40	0	39	14	1	11	28	0	9	12	0	0	0	0	41	0	31	9	0	1	0	0	13	0	7	6	0	0	0	0
109	del_mutL	9	1	1980	1320	13	0	12	24	0	29	8	0	12	13	0	1	10	0	0	0	0	24	0	4	23	0	0	0	0	8	0	3	9	0	0	0	0
109	del_mutL	9	1	1980	1650	58	0	23	194	0	59	55	0	6	59	0	5	21	0	1	0	0	194	0	37	27	0	2	0	0	55	0	4	2	0	0	0	0
109	del_mutL	9	1	1980	1980	104	0	77	312	0	165	53	0	32	122	0	15	44	0	2	0	0	320	0	70	105	0	6	0	0	63	0	8	23	0	3	0	0
109	del_mutL	9	1	1980	2310	3	0	6	19	1	18	1	0	5	3	0	11	18	0	0	0	0	19	0	24	78	0	4	0	0	1	0	11	19	0	1	0	0
109	del_mutL	9	1	1980	2640	0	0	114	1	0	388	0	3	158	0	0	8	14	0	61	0	0	0	1	22	72	0	176	0	0	0	1	7	14	0	102	0	0
109	del_mutL	9	1	1980	2970	0	0	52	0	0	136	0	0	28	0	0	0	0	0	51	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	27	0	0
110	del_srlD	9	0	0	297	0	0	11	2	0	3	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	del_srlD	9	0	0	660	6	0	8	7	0	4	18	0	6	6	0	11	0	0	5	0	0	7	0	5	1	0	1	0	0	19	0	1	2	0	3	0	0
110	del_srlD	9	0	0	990	4	0	0	6	0	0	5	0	1	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0
110	del_srlD	9	0	0	1320	6	0	1	9	0	2	6	0	0	6	0	1	0	0	0	0	0	9	0	1	2	0	0	0	0	6	0	0	0	0	0	0	0
110	del_srlD	9	0	0	1650	15	1	11	29	0	4	42	0	0	15	0	7	0	0	5	0	0	29	0	1	0	0	3	0	0	41	0	0	0	0	0	0	0
110	del_srlD	9	0	0	1980	13	2	32	17	0	19	43	0	8	13	0	2	9	0	23	0	0	18	0	0	8	0	12	0	0	43	0	0	1	0	7	0	0
110	del_srlD	9	0	0	2310	2	0	0	13	0	1	7	0	0	2	0	0	1	0	0	0	0	13	0	0	1	0	1	0	0	7	0	0	1	0	0	0	0
110	del_srlD	9	0	0	2640	32	1	17	55	0	9	79	0	23	32	0	1	7	0	9	0	0	55	0	0	2	0	4	0	0	79	0	0	19	0	3	0	0
110	del_srlD	9	0	0	2970	0	0	14	0	0	51	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	20	0	0
111	del_mutL_araBAD	9	1	1320	297	28	0	3	38	0	8	16	0	4	10	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	5	0	0	0	1	1	0	0
111	del_mutL_araBAD	9	1	1320	660	31	0	11	54	0	20	22	0	10	33	0	10	2	0	4	0	0	60	0	20	3	0	8	0	0	24	0	6	1	0	6	0	0
111	del_mutL_araBAD	9	1	1320	990	32	0	3	34	0	6	12	0	8	50	0	0	3	0	8	0	0	54	0	0	7	0	19	0	0	22	0	0	0	0	11	0	0
111	del_mutL_araBAD	9	1	1320	1320	4	0	12	10	0	29	5	0	6	4	0	0	0	0	12	0	0	10	0	0	0	0	27	0	0	5	0	0	0	0	6	0	0
111	del_mutL_araBAD	9	1	1320	1650	68	0	85	129	0	230	55	0	30	66	0	30	0	0	49	0	0	131	0	104	2	0	108	0	0	55	0	15	0	0	11	0	0
111	del_mutL_araBAD	9	1	1320	1980	52	0	63	147	1	113	32	0	23	52	0	18	0	0	43	0	0	146	0	47	2	2	62	0	0	32	0	12	0	0	14	0	0
111	del_mutL_araBAD	9	1	1320	2310	129	1	108	325	0	214	74	0	34	128	0	24	1	0	82	0	0	323	0	36	1	0	175	0	0	74	0	9	0	0	25	0	0
111	del_mutL_araBAD	9	1	1320	2640	91	0	70	241	1	160	77	0	27	91	0	8	0	1	62	0	0	241	0	31	2	0	128	0	0	77	0	5	0	0	19	0	0
111	del_mutL_araBAD	9	1	1320	2970	0	0	68	0	0	134	0	0	42	0	0	0	0	0	68	0	0	0	0	0	0	1	131	0	0	0	0	0	0	0	41	0	0
112	wt	7	-1	0	297	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	660	1	0	0	4	0	1	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	990	2	0	0	4	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	1320	3	0	0	4	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	2310	3	0	8	5	0	14	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	2640	17	0	11	36	0	6	67	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	wt	7	-1	0	2970	0	0	28	0	0	62	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	wt	8	1	1980	660	2	0	14	5	1	42	18	0	10	0	3	4	0	0	1	0	0	0	11	8	0	0	0	0	0	0	4	2	0	0	0	0	0
113	wt	8	1	1980	990	9	0	11	36	0	15	15	0	7	9	0	5	2	0	10	0	0	36	0	12	9	0	22	0	0	19	0	2	5	0	4	0	0
113	wt	8	1	1980	1320	13	0	5	44	0	12	13	0	2	13	0	0	1	0	4	0	0	44	0	0	8	0	6	0	0	16	0	0	0	0	2	0	0
113	wt	8	1	1980	1650	52	0	22	93	0	59	52	0	6	52	0	0	0	0	24	0	0	93	0	1	6	0	54	0	0	52	0	0	0	0	6	0	0
113	wt	8	1	1980	1980	31	0	17	48	0	26	5	0	0	33	0	0	1	0	16	0	0	53	0	0	0	0	25	0	0	13	0	0	0	0	0	0	0
113	wt	8	1	1980	2310	31	0	22	66	0	39	18	0	9	31	0	0	1	0	21	0	0	66	0	1	1	0	39	0	0	21	0	0	1	0	9	0	0
113	wt	8	1	1980	2640	50	0	62	95	0	140	81	0	27	50	0	1	4	0	55	0	0	95	0	2	20	0	109	0	0	81	0	0	1	0	25	0	0
113	wt	8	1	1980	2970	0	0	32	0	0	107	0	0	13	0	0	0	0	0	32	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	13	0	0
114	del_mutL_srlD	8	1	990	297	30	0	42	62	0	43	14	0	5	0	0	0	1	1	0	0	0	4	0	1	0	0	1	0	0	3	0	1	0	0	0	0	0
114	del_mutL_srlD	8	1	990	660	47	0	11	77	0	30	40	0	6	45	0	19	5	0	25	0	0	79	0	46	11	0	14	0	0	40	0	6	2	0	2	0	0
114	del_mutL_srlD	8	1	990	990	17	0	20	24	0	39	16	0	5	14	0	11	3	0	8	0	0	24	0	21	7	0	15	0	0	16	0	1	3	0	3	0	0
114	del_mutL_srlD	8	1	990	1320	32	0	4	43	0	9	13	0	1	32	0	0	1	0	4	0	0	43	0	1	6	0	2	0	0	11	0	0	2	0	0	0	0
114	del_mutL_srlD	8	1	990	1650	33	0	44	59	0	47	22	0	13	34	0	20	11	0	18	0	0	59	0	29	4	0	16	0	0	24	0	8	1	0	5	0	0
114	del_mutL_srlD	8	1	990	1980	86	0	42	144	0	61	42	0	16	83	0	2	39	0	15	0	0	139	0	2	39	0	30	0	0	36	0	0	20	0	6	0	0
114	del_mutL_srlD	8	1	990	2310	45	2	44	128	0	87	33	0	32	66	2	0	12	0	34	0	0	177	0	1	38	0	58	0	0	37	0	1	8	0	25	0	0
114	del_mutL_srlD	8	1	990	2640	0	0	123	0	0	237	0	0	125	0	0	0	0	0	117	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	122	0	0
115	del_araBAD	9	0	0	297	12	0	0	1	1	3	66	0	3	12	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	62	0	0	0	1	2	0	0
115	del_araBAD	9	0	0	660	4	0	0	7	0	0	7	0	2	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0
115	del_araBAD	9	0	0	990	19	0	0	53	0	1	13	0	2	18	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
115	del_araBAD	9	0	0	1320	11	0	1	6	0	1	8	0	0	11	0	1	0	0	0	0	0	6	0	1	0	0	2	0	0	12	0	0	0	0	1	0	0
115	del_araBAD	9	0	0	1650	16	0	1	32	0	1	17	0	2	16	0	1	0	0	0	0	0	32	0	1	0	0	1	0	0	18	0	2	0	0	0	0	0
115	del_araBAD	9	0	0	1980	21	0	26	26	0	46	10	0	11	21	0	4	0	0	24	0	0	25	0	12	0	0	35	0	0	10	0	2	0	0	11	0	0
115	del_araBAD	9	0	0	2310	31	0	2	75	0	11	23	0	3	32	0	0	2	0	0	0	0	79	0	1	10	0	1	0	0	26	0	1	2	0	1	0	0
115	del_araBAD	9	0	0	2640	16	0	52	54	0	120	49	0	31	16	0	1	12	0	39	0	0	56	0	2	28	0	88	0	0	49	0	0	5	0	25	0	0
115	del_araBAD	9	0	0	2970	0	0	56	0	0	86	0	0	22	0	0	0	0	0	54	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	22	0	0
116	del_mutL	9	1	330	297	52	0	0	111	0	1	23	0	3	28	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	10	0	0	0	0	2	0	0
116	del_mutL	9	1	330	660	66	0	0	147	0	0	38	0	1	63	0	0	26	0	0	0	0	119	0	1	70	0	1	0	0	28	0	0	17	0	2	0	0
116	del_mutL	9	1	330	990	38	0	0	73	0	0	28	0	0	37	0	0	5	0	0	0	0	73	0	0	6	0	0	0	0	26	0	0	2	0	0	0	0
116	del_mutL	9	1	330	1320	11	0	7	21	0	1	6	0	1	13	0	0	12	0	7	0	0	25	0	0	19	0	1	0	0	13	0	0	1	0	0	0	0
116	del_mutL	9	1	330	1650	169	0	0	295	0	0	69	0	1	116	0	0	38	0	0	0	0	205	0	0	69	0	0	0	0	50	0	0	17	0	0	0	0
116	del_mutL	9	1	330	1980	206	0	0	347	0	1	68	0	2	206	0	0	0	0	0	0	0	352	0	0	1	0	0	0	0	70	0	0	0	0	3	0	0
116	del_mutL	9	1	330	2310	91	0	0	162	0	0	32	0	0	39	0	0	60	0	0	0	0	68	0	0	117	0	0	0	0	12	0	0	30	0	0	0	0
116	del_mutL	9	1	330	2640	246	0	0	433	0	1	144	0	0	234	0	0	1	0	0	0	0	406	0	0	1	0	1	0	0	134	0	0	0	0	0	0	0
116	del_mutL	9	1	330	2970	0	0	86	0	0	87	0	0	36	0	0	0	0	2	85	0	0	0	0	0	0	5	82	0	0	0	0	0	0	0	35	0	0
117	del_srlD	8	0	0	297	0	0	19	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
117	del_srlD	8	0	0	660	1	0	0	1	0	1	14	0	2	1	0	8	0	0	8	0	0	1	0	2	0	0	3	0	0	15	0	0	0	1	1	0	0
117	del_srlD	8	0	0	990	84	0	0	21	0	1	14	0	1	84	0	3	0	0	0	0	0	21	0	0	0	0	2	0	0	14	0	0	0	0	1	0	0
117	del_srlD	8	0	0	1320	6	0	1	14	0	2	2	0	2	6	0	0	26	0	1	0	0	14	0	0	14	0	3	0	0	3	0	0	15	0	2	0	0
117	del_srlD	8	0	0	1650	0	0	14	1	0	5	1	0	0	0	0	0	0	0	14	0	0	1	0	0	0	0	5	0	0	1	0	0	0	0	1	0	0
117	del_srlD	8	0	0	1980	5	0	60	18	0	31	15	0	26	5	0	0	23	0	14	0	0	18	0	0	7	0	9	0	0	15	0	0	0	0	11	0	0
117	del_srlD	8	0	0	2310	7	0	0	20	0	0	2	0	0	7	0	0	22	0	0	0	0	20	0	0	71	0	0	0	0	2	0	0	78	0	0	0	0
117	del_srlD	8	0	0	2640	0	0	37	0	0	119	0	0	126	0	0	0	0	0	12	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	47	0	0
118	del_mutL_araBAD	8	1	1980	297	9	0	6	25	0	23	9	0	4	4	0	0	0	0	0	0	0	10	0	0	0	4	0	0	0	3	0	0	0	0	0	0	0
118	del_mutL_araBAD	8	1	1980	660	11	0	2	27	0	3	15	0	2	11	0	0	8	0	0	0	0	28	0	5	17	0	1	0	0	17	0	1	3	1	3	0	0
118	del_mutL_araBAD	8	1	1980	990	56	0	8	34	0	19	5	0	1	61	0	22	6	0	0	0	0	48	0	59	13	0	0	0	0	9	0	4	1	0	0	0	0
118	del_mutL_araBAD	8	1	1980	1320	26	0	60	44	0	157	5	0	32	28	0	34	6	0	0	0	0	46	0	88	13	0	2	0	0	6	0	21	2	0	4	0	0
118	del_mutL_araBAD	8	1	1980	1650	37	0	20	103	0	77	62	0	17	37	0	15	1	0	4	0	0	103	0	56	3	0	25	0	0	61	0	9	2	0	6	0	0
118	del_mutL_araBAD	8	1	1980	1980	100	0	46	310	0	56	89	0	23	97	0	2	4	0	43	0	0	308	0	0	10	0	47	0	0	88	0	0	3	0	20	0	0
118	del_mutL_araBAD	8	1	1980	2310	19	0	37	42	0	121	8	0	19	19	0	20	0	0	17	0	0	42	0	54	4	0	61	0	0	8	0	12	1	0	6	0	0
118	del_mutL_araBAD	8	1	1980	2640	0	0	82	0	0	196	0	0	103	0	0	0	0	0	80	0	0	0	0	0	0	0	190	0	0	0	0	0	0	0	103	0	0
119	del_mutL_srlD	9	0	0	297	13	3	25	29	6	23	24	0	3	3	1	1	0	5	4	0	0	7	3	0	0	13	0	0	0	3	0	0	0	1	0	0	0
119	del_mutL_srlD	9	0	0	660	13	0	11	37	2	46	18	0	25	12	0	9	9	1	15	0	0	46	1	33	20	1	10	0	0	28	0	6	21	0	1	0	0
119	del_mutL_srlD	9	0	0	990	23	1	12	34	0	42	14	0	9	32	0	11	5	1	1	0	0	56	0	36	8	0	2	0	0	25	0	8	5	0	0	0	0
119	del_mutL_srlD	9	0	0	1320	28	0	22	46	0	58	8	0	12	27	0	7	11	0	0	0	0	43	0	37	17	0	1	0	0	8	0	4	4	0	0	0	0
119	del_mutL_srlD	9	0	0	1650	45	0	5	75	0	14	21	0	5	45	0	2	3	0	0	0	0	75	0	4	12	0	0	0	0	22	0	0	5	0	0	0	0
119	del_mutL_srlD	9	0	0	1980	94	0	59	235	0	85	76	0	21	93	0	4	51	0	3	0	0	234	0	32	51	0	5	0	0	78	0	3	17	0	0	0	0
119	del_mutL_srlD	9	0	0	2310	32	0	46	77	4	124	22	0	35	32	0	18	23	0	7	0	0	74	0	55	61	1	9	0	0	22	0	16	15	0	4	0	0
119	del_mutL_srlD	9	0	0	2640	77	0	30	196	0	82	128	0	18	77	0	6	14	0	7	0	0	195	3	28	30	0	15	0	0	125	0	3	13	0	2	0	0
