pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
123	del_mutL_araBAD	9	1	1980	pseudogene	96	3296	16	786
123	del_mutL_araBAD	9	1	1980	intergenic	465	3296	101	786
123	del_mutL_araBAD	9	1	1980	indel	110	3296	11	786
123	del_mutL_araBAD	9	1	1980	sv	26	3296	5	786
124	wt	8	-1	0	synonymous	160	909	0	3
124	wt	8	-1	0	nonsynonymous	329	909	0	3
124	wt	8	-1	0	nonsense	11	909	0	3
124	wt	8	-1	0	noncoding	18	909	0	3
124	wt	8	-1	0	pseudogene	64	909	0	3
124	wt	8	-1	0	intergenic	231	909	0	3
124	wt	8	-1	0	indel	40	909	1	3
124	wt	8	-1	0	sv	56	909	2	3
201	wt	9	1	2640	synonymous	134	831	6	66
201	wt	9	1	2640	nonsynonymous	267	831	21	66
201	wt	9	1	2640	nonsense	16	831	1	66
201	wt	9	1	2640	noncoding	37	831	2	66
201	wt	9	1	2640	pseudogene	77	831	2	66
201	wt	9	1	2640	intergenic	206	831	13	66
201	wt	9	1	2640	indel	51	831	7	66
201	wt	9	1	2640	sv	43	831	14	66
202	del_mutL_srlD	9	1	1452	synonymous	1523	5466	450	1588
202	del_mutL_srlD	9	1	1452	nonsynonymous	2632	5466	787	1588
202	del_mutL_srlD	9	1	1452	nonsense	50	5466	8	1588
202	del_mutL_srlD	9	1	1452	noncoding	26	5466	2	1588
202	del_mutL_srlD	9	1	1452	pseudogene	331	5466	86	1588
202	del_mutL_srlD	9	1	1452	intergenic	704	5466	175	1588
202	del_mutL_srlD	9	1	1452	indel	179	5466	74	1588
202	del_mutL_srlD	9	1	1452	sv	21	5466	6	1588
203	del_araBAD	9	0	0	synonymous	146	680	14	64
203	del_araBAD	9	0	0	nonsynonymous	219	680	23	64
203	del_araBAD	9	0	0	nonsense	18	680	1	64
203	del_araBAD	9	0	0	noncoding	18	680	0	64
203	del_araBAD	9	0	0	pseudogene	49	680	2	64
203	del_araBAD	9	0	0	intergenic	141	680	8	64
203	del_araBAD	9	0	0	indel	31	680	3	64
203	del_araBAD	9	0	0	sv	58	680	13	64
204	del_mutL	9	0	0	synonymous	1379	4998	344	1214
204	del_mutL	9	0	0	nonsynonymous	2592	4998	643	1214
204	del_mutL	9	0	0	nonsense	43	4998	9	1214
204	del_mutL	9	0	0	noncoding	24	4998	5	1214
204	del_mutL	9	0	0	pseudogene	172	4998	39	1214
204	del_mutL	9	0	0	intergenic	569	4998	110	1214
204	del_mutL	9	0	0	indel	184	4998	56	1214
204	del_mutL	9	0	0	sv	35	4998	8	1214
205	del_srlD	9	0	0	synonymous	185	1056	30	212
205	del_srlD	9	0	0	nonsynonymous	270	1056	40	212
205	del_srlD	9	0	0	nonsense	17	1056	3	212
205	del_srlD	9	0	0	noncoding	23	1056	5	212
205	del_srlD	9	0	0	pseudogene	198	1056	54	212
205	del_srlD	9	0	0	intergenic	282	1056	54	212
205	del_srlD	9	0	0	indel	23	1056	5	212
205	del_srlD	9	0	0	sv	58	1056	21	212
206	del_mutL_araBAD	9	0	0	synonymous	1321	4780	216	760
206	del_mutL_araBAD	9	0	0	nonsynonymous	2349	4780	389	760
206	del_mutL_araBAD	9	0	0	nonsense	59	4780	8	760
206	del_mutL_araBAD	9	0	0	noncoding	21	4780	4	760
206	del_mutL_araBAD	9	0	0	pseudogene	211	4780	39	760
206	del_mutL_araBAD	9	0	0	intergenic	640	4780	92	760
206	del_mutL_araBAD	9	0	0	indel	160	4780	8	760
