pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
118	del_mutL_araBAD	8	1	1980	intergenic	394	2438	0	16
118	del_mutL_araBAD	8	1	1980	indel	76	2438	16	16
118	del_mutL_araBAD	8	1	1980	sv	24	2438	0	16
119	del_mutL_srlD	9	0	0	synonymous	594	2915	59	385
119	del_mutL_srlD	9	0	0	nonsynonymous	1359	2915	232	385
119	del_mutL_srlD	9	0	0	nonsense	68	2915	7	385
119	del_mutL_srlD	9	0	0	noncoding	46	2915	1	385
119	del_mutL_srlD	9	0	0	pseudogene	261	2915	7	385
119	del_mutL_srlD	9	0	0	intergenic	463	2915	40	385
119	del_mutL_srlD	9	0	0	indel	107	2915	35	385
119	del_mutL_srlD	9	0	0	sv	17	2915	4	385
120	del_araBAD	9	1	1650	synonymous	148	794	0	3
120	del_araBAD	9	1	1650	nonsynonymous	215	794	0	3
120	del_araBAD	9	1	1650	nonsense	9	794	0	3
120	del_araBAD	9	1	1650	noncoding	29	794	0	3
120	del_araBAD	9	1	1650	pseudogene	69	794	0	3
120	del_araBAD	9	1	1650	intergenic	219	794	0	3
120	del_araBAD	9	1	1650	indel	45	794	0	3
120	del_araBAD	9	1	1650	sv	60	794	3	3
121	del_mutL	8	1	2310	synonymous	773	3221	0	41
121	del_mutL	8	1	2310	nonsynonymous	1654	3221	1	41
121	del_mutL	8	1	2310	nonsense	69	3221	0	41
121	del_mutL	8	1	2310	noncoding	19	3221	0	41
121	del_mutL	8	1	2310	pseudogene	154	3221	0	41
121	del_mutL	8	1	2310	intergenic	415	3221	1	41
121	del_mutL	8	1	2310	indel	104	3221	39	41
121	del_mutL	8	1	2310	sv	33	3221	0	41
122	del_srlD	3	-1	0	synonymous	243	1031	0	0
122	del_srlD	3	-1	0	nonsynonymous	461	1031	0	0
122	del_srlD	3	-1	0	nonsense	14	1031	0	0
122	del_srlD	3	-1	0	noncoding	4	1031	0	0
122	del_srlD	3	-1	0	pseudogene	142	1031	0	0
122	del_srlD	3	-1	0	intergenic	135	1031	0	0
122	del_srlD	3	-1	0	indel	16	1031	0	0
122	del_srlD	3	-1	0	sv	16	1031	0	0
123	del_mutL_araBAD	9	1	1980	synonymous	711	3296	1	8
123	del_mutL_araBAD	9	1	1980	nonsynonymous	1777	3296	0	8
123	del_mutL_araBAD	9	1	1980	nonsense	74	3296	1	8
123	del_mutL_araBAD	9	1	1980	noncoding	37	3296	0	8
123	del_mutL_araBAD	9	1	1980	pseudogene	96	3296	0	8
123	del_mutL_araBAD	9	1	1980	intergenic	465	3296	0	8
123	del_mutL_araBAD	9	1	1980	indel	110	3296	6	8
123	del_mutL_araBAD	9	1	1980	sv	26	3296	0	8
124	wt	8	-1	0	synonymous	160	909	0	0
124	wt	8	-1	0	nonsynonymous	329	909	0	0
124	wt	8	-1	0	nonsense	11	909	0	0
124	wt	8	-1	0	noncoding	18	909	0	0
124	wt	8	-1	0	pseudogene	64	909	0	0
124	wt	8	-1	0	intergenic	231	909	0	0
124	wt	8	-1	0	indel	40	909	0	0
124	wt	8	-1	0	sv	56	909	0	0
201	wt	9	1	2640	synonymous	134	831	0	3
201	wt	9	1	2640	nonsynonymous	267	831	0	3
201	wt	9	1	2640	nonsense	16	831	0	3
201	wt	9	1	2640	noncoding	37	831	0	3
201	wt	9	1	2640	pseudogene	77	831	0	3
201	wt	9	1	2640	intergenic	206	831	1	3
201	wt	9	1	2640	indel	51	831	1	3
201	wt	9	1	2640	sv	43	831	1	3
202	del_mutL_srlD	9	1	1452	synonymous	1523	5466	1	66
202	del_mutL_srlD	9	1	1452	nonsynonymous	2632	5466	6	66
202	del_mutL_srlD	9	1	1452	nonsense	50	5466	0	66
202	del_mutL_srlD	9	1	1452	noncoding	26	5466	0	66
202	del_mutL_srlD	9	1	1452	pseudogene	331	5466	1	66
202	del_mutL_srlD	9	1	1452	intergenic	704	5466	1	66
202	del_mutL_srlD	9	1	1452	indel	179	5466	57	66
202	del_mutL_srlD	9	1	1452	sv	21	5466	0	66
203	del_araBAD	9	0	0	synonymous	146	680	1	19
203	del_araBAD	9	0	0	nonsynonymous	219	680	7	19
203	del_araBAD	9	0	0	nonsense	18	680	1	19
203	del_araBAD	9	0	0	noncoding	18	680	0	19
203	del_araBAD	9	0	0	pseudogene	49	680	0	19
203	del_araBAD	9	0	0	intergenic	141	680	2	19
203	del_araBAD	9	0	0	indel	31	680	2	19
203	del_araBAD	9	0	0	sv	58	680	6	19
204	del_mutL	9	0	0	synonymous	1379	4998	67	286
204	del_mutL	9	0	0	nonsynonymous	2592	4998	134	286
204	del_mutL	9	0	0	nonsense	43	4998	0	286
204	del_mutL	9	0	0	noncoding	24	4998	0	286
204	del_mutL	9	0	0	pseudogene	172	4998	10	286
204	del_mutL	9	0	0	intergenic	569	4998	21	286
204	del_mutL	9	0	0	indel	184	4998	51	286
204	del_mutL	9	0	0	sv	35	4998	3	286
205	del_srlD	9	0	0	synonymous	185	1056	0	9
205	del_srlD	9	0	0	nonsynonymous	270	1056	1	9
205	del_srlD	9	0	0	nonsense	17	1056	2	9
205	del_srlD	9	0	0	noncoding	23	1056	0	9
205	del_srlD	9	0	0	pseudogene	198	1056	0	9
205	del_srlD	9	0	0	intergenic	282	1056	2	9
205	del_srlD	9	0	0	indel	23	1056	1	9
205	del_srlD	9	0	0	sv	58	1056	3	9
206	del_mutL_araBAD	9	0	0	synonymous	1321	4780	48	188
206	del_mutL_araBAD	9	0	0	nonsynonymous	2349	4780	105	188
206	del_mutL_araBAD	9	0	0	nonsense	59	4780	3	188
206	del_mutL_araBAD	9	0	0	noncoding	21	4780	0	188
206	del_mutL_araBAD	9	0	0	pseudogene	211	4780	9	188
206	del_mutL_araBAD	9	0	0	intergenic	640	4780	18	188
206	del_mutL_araBAD	9	0	0	indel	160	4780	3	188
206	del_mutL_araBAD	9	0	0	sv	19	4780	2	188
207	del_mutL_srlD	9	1	7920	synonymous	1571	5552	1	65
207	del_mutL_srlD	9	1	7920	nonsynonymous	2639	5552	9	65
207	del_mutL_srlD	9	1	7920	nonsense	50	5552	0	65
207	del_mutL_srlD	9	1	7920	noncoding	25	5552	0	65
207	del_mutL_srlD	9	1	7920	pseudogene	362	5552	0	65
207	del_mutL_srlD	9	1	7920	intergenic	649	5552	2	65
207	del_mutL_srlD	9	1	7920	indel	232	5552	53	65
207	del_mutL_srlD	9	1	7920	sv	24	5552	0	65
208	del_araBAD	0	-1	0	synonymous	0	0	0	0
208	del_araBAD	0	-1	0	nonsynonymous	0	0	0	0
208	del_araBAD	0	-1	0	nonsense	0	0	0	0
208	del_araBAD	0	-1	0	noncoding	0	0	0	0
208	del_araBAD	0	-1	0	pseudogene	0	0	0	0
208	del_araBAD	0	-1	0	intergenic	0	0	0	0
208	del_araBAD	0	-1	0	indel	0	0	0	0
208	del_araBAD	0	-1	0	sv	0	0	0	0
209	del_mutL	9	0	0	synonymous	1312	4794	25	129
209	del_mutL	9	0	0	nonsynonymous	2381	4794	76	129
209	del_mutL	9	0	0	nonsense	62	4794	1	129
209	del_mutL	9	0	0	noncoding	36	4794	1	129
209	del_mutL	9	0	0	pseudogene	169	4794	4	129
209	del_mutL	9	0	0	intergenic	663	4794	9	129
209	del_mutL	9	0	0	indel	151	4794	12	129
209	del_mutL	9	0	0	sv	20	4794	1	129
