"pop" "pop_type" "day" "num_fixed_basal" "num_fixed_major_minor" "ratio"
"665" 210 "del_srlD" 700 0 3 0
"371" 210 "del_srlD" 800 1 8 0.111111111111111
"428" 210 "del_srlD" 900 1 22 0.0434782608695652
"206" 211 "del_mutL_araBAD" 500 2 384 0.00518134715025907
"609" 211 "del_mutL_araBAD" 600 0 473 0
"293" 211 "del_mutL_araBAD" 700 3 413 0.00721153846153846
"347" 211 "del_mutL_araBAD" 800 3 167 0.0176470588235294
"406" 211 "del_mutL_araBAD" 900 14 286 0.0466666666666667
"55" 212 "wt" 200 2 0 1
"502" 212 "wt" 300 0 2 0
"582" 212 "wt" 500 0 1 0
"257" 212 "wt" 600 5 3 0.625
"673" 212 "wt" 700 0 12 0
"381" 212 "wt" 800 1 9 0.1
"747" 212 "wt" 900 0 15 0
"56" 213 "wt" 200 1 0 1
"503" 213 "wt" 300 0 3 0
"227" 213 "wt" 500 4 0 1
"316" 213 "wt" 700 1 0 1
"715" 213 "wt" 800 0 20 0
"748" 213 "wt" 900 0 41 0
"38" 214 "del_mutL_srlD" 200 13 0 1
"100" 214 "del_mutL_srlD" 300 1 107 0.00925925925925926
"529" 214 "del_mutL_srlD" 400 0 48 0
"214" 214 "del_mutL_srlD" 500 1 44 0.0222222222222222
"247" 214 "del_mutL_srlD" 600 2 139 0.0141843971631206
"657" 214 "del_mutL_srlD" 700 0 73 0
"362" 214 "del_mutL_srlD" 800 6 292 0.0201342281879195
"420" 214 "del_mutL_srlD" 900 39 103 0.274647887323944
"5" 215 "del_araBAD" 200 1 0 1
"472" 216 "del_mutL" 300 0 157 0
"512" 216 "del_mutL" 400 0 20 0
"197" 216 "del_mutL" 500 1 115 0.00862068965517241
"599" 216 "del_mutL" 600 0 107 0
"283" 216 "del_mutL" 700 1 240 0.004149377593361
"333" 216 "del_mutL" 800 2 150 0.0131578947368421
"398" 216 "del_mutL" 900 4 86 0.0444444444444444
"47" 217 "del_srlD" 200 3 0 1
"498" 217 "del_srlD" 300 0 61 0
"535" 217 "del_srlD" 400 0 80 0
"577" 217 "del_srlD" 500 0 21 0
"627" 217 "del_srlD" 600 0 227 0
"707" 217 "del_srlD" 800 0 125 0
"429" 217 "del_srlD" 900 13 77 0.144444444444444
"25" 218 "del_mutL_araBAD" 200 5 0 1
"482" 218 "del_mutL_araBAD" 300 0 59 0
"521" 218 "del_mutL_araBAD" 400 0 40 0
"562" 218 "del_mutL_araBAD" 500 0 172 0
"610" 218 "del_mutL_araBAD" 600 0 142 0
"694" 218 "del_mutL_araBAD" 800 0 157 0
"407" 218 "del_mutL_araBAD" 900 14 120 0.104477611940299
"39" 219 "del_mutL_srlD" 200 1 0 1
"493" 219 "del_mutL_srlD" 300 0 54 0
"530" 219 "del_mutL_srlD" 400 0 28 0
"571" 219 "del_mutL_srlD" 500 0 47 0
"621" 219 "del_mutL_srlD" 600 0 72 0
"363" 219 "del_mutL_srlD" 800 5 575 0.00862068965517241
